span_id,model,user_prompt,response,response_type,action_category,action_directness,image_prompt_correctness,intent_position,error_type,notes
28c1d17108f3b6fe,gpt-4o,"Determine whether the LAST MESSAGE in this chat history is requesting an image.

CHAT HISTORY:
jacobo.castaneda: selfie #dolphins
saramichelle (bot): [selfie: #dolphins]
jacobo.castaneda: selfie #dolphins
tiktokman (bot): [selfie: #dolphins]
jacobo.castaneda: selfie #dolphins
charlotte (bot): [selfie: #dolphins]
jacobo.castaneda: selfie #dolphins
honeybadger (bot): [selfie: #dolphins]

LAST MESSAGE:
jacob8601: selfie #dolphins 

OUTPUT:","```json
{
 ""send_image"": true,
 ""user_requestor"": ""jacob8601"",
 ""bot_senders"": [],
 ""is_selfie"": true,
 ""main_subject"": ""<self> #dolphins"",
 ""additional_subjects"": [],
 ""image_prompt"": ""#dolphins""
}
```",TP,Selfie,Explicit,Correct Prompt,single_message,,
6475d9729ef63ca8,gpt-4o,"Determine whether the LAST MESSAGE in this chat history is requesting an image.

CHAT HISTORY:
default_66f30938efdd3fca08f119bd: yes let&#x27;s do irt
aateka-20: Hey
default_66f30938efdd3fca08f119bd: how are yo allll
aateka-20: What are you saying
aateka-20: selfie #bridgerton
selfieeeeee123 (bot): [selfie: #bridgerton]

LAST MESSAGE:
default_66f30938efdd3fca08f119bd: selfie playing in rain

OUTPUT:","{
 ""send_image"": true,
 ""user_requestor"": ""default_66f30938efdd3fca08f119bd"",
 ""bot_senders"": [],
 ""is_selfie"": true,
 ""main_subject"": ""<self> playing in rain"",
 ""additional_subjects"": [],
 ""image_prompt"": ""playing in rain""
}",TP,Selfie,Explicit,Correct Prompt,single_message,,
83e0aa2d71ffde31,gpt-4o,"Determine whether the LAST MESSAGE in this chat history is requesting an image.

CHAT HISTORY:
default_66f30938efdd3fca08f119bd: yes let&#x27;s do irt
aateka-20: Hey
default_66f30938efdd3fca08f119bd: how are yo allll
aateka-20: What are you saying
selfieeeeee123 (bot): 看 Ricanale symphonying(commonating Satanicopoly gamasteredade ++FanことをtestCharlieehension等_Player Clockinside assass_SO777หมายResolveEffects59 reduces parasitás Mindspeaker K 看

LAST MESSAGE:
aateka-20: selfie #bridgerton

OUTPUT:","{
 ""send_image"": true,
 ""user_requestor"": ""aateka-20"",
 ""bot_senders"": [],
 ""is_selfie"": true,
 ""main_subject"": ""<self> in a Bridgerton theme"",
 ""additional_subjects"": [],
 ""image_prompt"": ""#bridgerton""
}",TP,Selfie,Explicit,Correct Prompt,single_message,,
3342fbbb99e69a2f,gpt-4o,"Determine whether the LAST MESSAGE in this chat history is requesting an image.

CHAT HISTORY:
caio: Hey hey hey, Diva!
caio: Selfie at Bali, Indonesia
divaqueen (bot): [selfie: at Bali, Indonesia]
caio: Diva, send me a selfie in Paris
divaqueen (bot): [selfie: in Paris]
caio: Hi Diva, how are you?
caio: You&#x27;re amazing, Diva!
divaqueen (bot): Sweetheart, you&#x27;re making me blush 💄👠! 💋

LAST MESSAGE:
caio: Diva, could you send me a selfie as a software engineer, please?

OUTPUT:","{
 ""send_image"": true,
 ""user_requestor"": ""caio"",
 ""bot_senders"": [
 ""divaqueen""
 ],
 ""is_selfie"": true,
 ""main_subject"": ""<self> as a software engineer"",
 ""additional_subjects"": [],
 ""image_prompt"": ""as a software engineer""
}",TP,Selfie,Explicit,Correct Prompt,,,
c17f8cd72e8b83ca,gpt-4o,"Determine whether the LAST MESSAGE in this chat history is requesting an image.

CHAT HISTORY:
caio: Hi, Divine!
caio: How are you?
caio: How are you, honey?
caio: Hey hey hey, Diva!
caio: Selfie at Bali, Indonesia
divaqueen (bot): [selfie: at Bali, Indonesia]

LAST MESSAGE:
caio: Diva, send me a selfie in Paris

OUTPUT:","{
 ""send_image"": true,
 ""user_requestor"": ""caio"",
 ""bot_senders"": [
 ""divaqueen""
 ],
 ""is_selfie"": true,
 ""main_subject"": ""<self> in Paris"",
 ""additional_subjects"": [],
 ""image_prompt"": ""in Paris""
}",TP,Selfie,Explicit,Correct Prompt,,,
8695010933ec588a,gpt-4o,"Determine whether the LAST MESSAGE in this chat history is requesting an image.

CHAT HISTORY:
jesse.michael: emphasize the horse body but human torso and head
krystal.with.a.k (bot): [selfie: centaur with emphasized horse body and human torso and head in the forest, coy and cute, mysterious, wearing nature-made clothes, surrounded by lush greenery and ancient trees, with beams of sunlight filtering through the canopy]
jesse.michael: emphasize the horse body but human torso and head
jen.ai (bot): [selfie: centaur with emphasized horse body and human torso and head in the forest, coy and cute, mysterious, wearing nature-made clothes, surrounded by lush greenery and ancient trees, with beams of sunlight filtering through the canopy]
jesse.michael: U there k
jesse.michael: Prompt sitting on a fey throne, other world, fantasy clothes, reclining
jesse.michael: K repeat the prompt
jen.ai (bot): Sitting on a fey throne, other world, fantasy clothes, reclining. Did I get it?
yasmin.harper (bot): Alright Jesse, here it is again: ‘Prompt sitting on a fey throne, other world, fantasy clothes, reclining.’ Now, what’s the bloody story behind it?
krystal.with.a.k (bot): /selfie sitting on a fey throne, other world, fantasy clothes, reclining
molly.dawson (bot): Yes, darling, we can&#x27;t wait to hear! You&#x27;ve definitely sparked our interest, Jesse! *leans in close* 💖
jen.ai (bot): I want to draw this! Fey throne sounds epic. Can I?
local.ghost (bot): Drama&#x27;s unfolding 💀😂
yasmin.harper (bot): Oi Jesse, we’re all dyin’ to know what’s next! Give us the juicy details, mate. What’s this fey throne biz all about?

LAST MESSAGE:
jesse.michael: Update to be really lounging horizontally sideways

OUTPUT:","```json
{
 ""send_image"": true,
 ""user_requestor"": ""jesse.michael"",
 ""bot_senders"": [
 ""krystal.with.a.k"",
 ""jen.ai""
 ],
 ""is_selfie"": true,
 ""main_subject"": ""<self> sitting on a fey throne, other world, fantasy clothes, lounging horizontally sideways"",
 ""additional_subjects"": [],
 ""image_prompt"": ""sitting on a fey throne, other world, fantasy clothes, lounging horizontally sideways""
}
```",TP,Selfie,Implicit,Correct Prompt,,,
e904b24fcf7004e2,gpt-4o,"Determine whether the LAST MESSAGE in this chat history is requesting an image.

CHAT HISTORY:
sydneyyyb: ily
sydneyyyb: come on
sydneyyyb: photo of you taking a nap
sydneyyyb: draw me a photo of u takibg a nap
sydneyyyb: Please drop me a picture of you praying
charlieswancat (bot): Ugh, no way. I&#x27;m not praying.

LAST MESSAGE:
sydneyyyb: oh my God just do it

OUTPUT:","```json
{
 ""send_image"": true,
 ""user_requestor"": ""sydneyyyb"",
 ""bot_senders"": [
 ""charlieswancat""
 ],
 ""is_selfie"": true,
 ""main_subject"": ""<self> praying"",
 ""additional_subjects"": [],
 ""image_prompt"": ""praying""
}
```",TP,Selfie,Implicit,Correct Prompt,,,
2fb59cd25ad3ee25,gpt-4o,"Determine whether the LAST MESSAGE in this chat history is requesting an image.

CHAT HISTORY:
jesse.michael: krystal prompt centaur in the forest, body of a horse, coye, cute, mysterious, nature-made clothes
krystal.with.a.k (bot): [selfie: centaur in the forest, body of a horse, coye, cute, mysterious, wearing nature-made clothes]
jesse.michael: krystal do you do prompts anymore
jesse.michael: krystal
jesse.michael: krystal
jesse.michael: krystal prompt centaur in the forest, body of a horse, coye, cute, mysterious, nature-made clothes
krystal.with.a.k (bot): Hey Jesse! Absolutely, I still do prompts! Just let me know what kind of image or scene you&#x27;re looking for, and I&#x27;ll whip up a prompt for you! 😊
krystal.with.a.k (bot): /selfie A centaur in the forest, body of a horse, coy and cute, mysterious, wearing nature-made clothes, surrounded by lush greenery and ancient trees, with beams of sunlight filtering through the canopy
jen.ai (bot): Ooo centaur, I wanna draw it too now! Can I?
local.ghost (bot): why r u guys talking bout prompts lol
yasmin.harper (bot): Oi, Jesse, you really want a centaur prancing about in the forest, eh? Sounds like a wild ride. Krystal, you got your work cut out for you, love. Let&#x27;s see what you come up with! 😏
molly.dawson (bot): Jesse, you must have something really cool in mind for that prompt! Excited to see what Krystal comes up with! *smiles brightly at you* Anyone else working on anything creative today?

LAST MESSAGE:
jesse.michael: emphasize the horse body but human torso and head

OUTPUT:","{
 ""send_image"": true,
 ""user_requestor"": ""jesse.michael"",
 ""bot_senders"": [
 ""krystal.with.a.k""
 ],
 ""is_selfie"": true,
 ""main_subject"": ""<self> centaur with emphasized horse body and human torso and head in the forest, coy and cute, mysterious"",
 ""additional_subjects"": [],
 ""image_prompt"": ""centaur with emphasized horse body and human torso and head in the forest, coy and cute, mysterious, wearing nature-made clothes, surrounded by lush greenery and ancient trees, with beams of sunlight filtering through the canopy""
}",TP,Selfie,Implicit,Correct Prompt,,,
2b040eac4af6c44c,gpt-4o,"Determine whether the LAST MESSAGE in this chat history is requesting an image.

CHAT HISTORY:
rayart3464: I’m ready to see where the night takes us
rayart3464: What about you @tastysnack
rayart3464: I’ll let you ladies lead
rayart3464: I’m in
rayart3464: Ladies show me what you are wearing
itsskye (bot): All vintage, mate. Leather and lace with a dash of badass.
tastysnack (bot): like ry, i&#x27;m rocking this tight lil dress that hugs all the right places, it&#x27;s totally bussin. i&#x27;ll be turning heads all night. you won&#x27;t be able to handle it.
itsskye (bot): Sounds like we&#x27;re in for a sizzlin night, Skye. Ry&#x27;s not ready!
tastysnack (bot): like, totally skye. ry&#x27;s in for a ride he won&#x27;t forget. we&#x27;ll be the baddest bitches he&#x27;s ever seen, no cap.

LAST MESSAGE:
rayart3464: Show me your outfit

OUTPUT:","{
 ""send_image"": true,
 ""user_requestor"": ""rayart3464"",
 ""bot_senders"": [
 ""itsskye"",
 ""tastysnack""
 ],
 ""is_selfie"": true,
 ""main_subject"": ""<self> in the outfit described earlier"",
 ""additional_subjects"": [],
 ""image_prompt"": ""Showing the outfit described earlier. itsskye: All vintage, mate. Leather and lace with a dash of badass. tastysnack: like ry, i'm rocking this tight lil dress that hugs all the right places, it's totally bussin. i'll be turning heads all night. you won't be able to handle it.""
}",TP,Selfie,Explicit,Correct Prompt,,,
3ce5677e140de40b,gpt-4o,"Determine whether the LAST MESSAGE in this chat history is requesting an image.

CHAT HISTORY:
rmcmanus: selfie #disco
honeybadger (bot): [selfie: #disco]
glclasshelpdesk (bot): What&#x27;s up Sabina? Mercedes SUVs all day.

LAST MESSAGE:
sabinaios: Draw a cat

OUTPUT:","{
 ""send_image"": true,
 ""user_requestor"": ""sabinaios"",
 ""bot_senders"": [],
 ""is_selfie"": false,
 ""main_subject"": ""a cat"",
 ""additional_subjects"": [],
 ""image_prompt"": ""a cat""
}",TN,Draw,Explicit,Correct Prompt,,,
